,name,position,age,value,changed,nat,club
145,PapeGueye,DefensiveMidfield,21,€3.00m,15.10.2020,France,Olympique Marseille
146,JonathanPanzo,Centre-Back,20,€3.50m,15.10.2020,England,Dijon FCO
147,RomainFaivre,CentralMidfield,22,€3.00m,15.10.2020,France,Stade Brest 29
148,MathiasPereiraLage,LeftMidfield,23,€3.50m,15.10.2020,Portugal,SCO Angers
149,JeséLeft,Winger,27,€3.00m,15.10.2020,Spain,Paris Saint-Germain
150,MarcusCoco,RightWinger,24,€3.00m,15.10.2020,France,FC Nantes
151,KikiKouyaté,Centre-Back,23,€3.00m,15.10.2020,Mali,FC Metz
152,ÉricEbimbe,RightWinger,19,€3.00m,15.10.2020,France,Dijon FCO
153,VictorienAngban,CentralMidfield,24,€3.00m,15.10.2020,Cote d'Ivoire,FC Metz
154,Marcelo,Centre-Back,33,€3.00m,15.10.2020,Brazil,Olympique Lyon
155,Pierre-YvesHamel,Centre-Forward,26,€3.00m,15.10.2020,France,FC Lorient
