,name,position,age,value,changed,nat,club
160,AlexanderSörloth,Centre-Forward,24,€20.00m,04.08.2020,Norway,RB Leipzig
161,ChristianGebauer,RightWinger,26,€800Th.,22.07.2020,Austria,Arminia Bielefeld
162,OmarAlderete,Centre-Back,23,€3.00m,31.07.2020,Paraguay,Hertha BSC
163,MarcelHartel,AttackingMidfield,24,€2.50m,15.07.2020,Germany,Arminia Bielefeld
164,MattéoGuendouzi,CentralMidfield,21,€32.00m,30.07.2020,France,Hertha BSC
165,AndreasVoglsammer,Centre-Forward,28,€2.50m,15.07.2020,Germany,Arminia Bielefeld
166,MaximilianPhilipp,SecondStriker,26,€11.00m,29.07.2020,Germany,VfL Wolfsburg
167,JoelPohjanpalo,Centre-Forward,26,€2.00m,15.07.2020,Finland,1.FC Union Berlin
168,ToluArokodare,Centre-Forward,19,€225Th.,24.07.2020,Nigeria,1. FC Köln
169,CédricBrunner,Right-Back,26,€1.50m,15.07.2020,Switzerland,Arminia Bielefeld
170,RomanoSchmid,CentralMidfield,20,€2.00m,22.07.2020,Austria,SV Werder Bremen
171,AtakanKarazor,DefensiveMidfield,24,€1.00m,15.07.2020,Germany,VfB Stuttgart
172,AndreasPoulsen,Left-Back,21,€1.00m,22.07.2020,Denmark,Borussia Mönchengladbach
173,FabianKlos,Centre-Forward,32,€1.00m,15.07.2020,Germany,Arminia Bielefeld
174,JulioVillalba,Centre-Forward,22,€400Th.,22.07.2020,Paraguay,Borussia Mönchengladbach
175,ClintonMola,Left-Back,19,€750Th.,15.07.2020,England,VfB Stuttgart
176,WataruEndo,DefensiveMidfield,27,€2.50m,15.07.2020,Japan,VfB Stuttgart
177,NoelNiemann,SecondStriker,21,€300Th.,15.07.2020,Germany,Arminia Bielefeld
178,AmosPieper,Centre-Back,22,€2.50m,15.07.2020,Germany,Arminia Bielefeld
179,DenisZakaria,DefensiveMidfield,23,€40.00m,08.07.2020,Switzerland,Borussia Mönchengladbach
180,BornaSosa,Left-Back,22,€2.00m,15.07.2020,Croatia,VfB Stuttgart
181,RaphaëlGuerreiro,LeftMidfield,26,€35.00m,08.07.2020,Portugal,Borussia Dortmund
182,JoakimNilsson,Centre-Back,26,€2.00m,15.07.2020,Sweden,Arminia Bielefeld
183,MoussaDiaby,LeftWinger,21,€32.00m,08.07.2020,France,Bayer 04 Leverkusen
184,StefanOrtegaMoreno,Goalkeeper,28,€1.50m,15.07.2020,Germany,Arminia Bielefeld
185,AlassanePlea,Centre-Forward,27,€30.00m,08.07.2020,France,Borussia Mönchengladbach
186,ManuelPrietl,DefensiveMidfield,29,€1.00m,15.07.2020,Austria,Arminia Bielefeld
187,PatrikSchick,Centre-Forward,24,€25.00m,08.07.2020,Czech Republic,Bayer 04 Leverkusen
188,NilsSeufert,CentralMidfield,23,€850Th.,15.07.2020,Germany,Arminia Bielefeld
189,JonathanTah,Centre-Back,24,€24.00m,08.07.2020,Germany,Bayer 04 Leverkusen
190,MaximeAwoudja,Centre-Back,22,€500Th.,15.07.2020,Germany,VfB Stuttgart
191,FlorianNeuhaus,CentralMidfield,23,€23.00m,08.07.2020,Germany,Borussia Mönchengladbach
192,DavidAlaba,Centre-Back,28,€65.00m,08.07.2020,Austria,Bayern Munich
193,MilotRashica,LeftWinger,24,€22.00m,08.07.2020,Kosovo,SV Werder Bremen
194,MarcelSabitzer,RightWinger,26,€35.00m,08.07.2020,Austria,RB Leipzig
195,MarcelHalstenberg,Left-Back,29,€20.00m,08.07.2020,Germany,RB Leipzig
196,ChristopherNkunku,AttackingMidfield,23,€33.00m,08.07.2020,France,RB Leipzig
197,ExequielPalacios,CentralMidfield,22,€18.00m,08.07.2020,Argentina,Bayer 04 Leverkusen
198,MarcusThuram,LeftWinger,23,€32.00m,08.07.2020,France,Borussia Mönchengladbach
199,MaximilianArnold,CentralMidfield,26,€17.00m,08.07.2020,Germany,VfL Wolfsburg
200,WoutWeghorst,Centre-Forward,28,€30.00m,08.07.2020,Netherlands,VfL Wolfsburg
201,GiovanniReyna,AttackingMidfield,18,€15.00m,08.07.2020,United States,Borussia Dortmund
202,MarcoReus,AttackingMidfield,31,€25.00m,08.07.2020,Germany,Borussia Dortmund
203,RobertSkov,RightWinger,24,€14.00m,08.07.2020,Denmark,TSG 1899 Hoffenheim
204,AndréSilva,Centre-Forward,25,€24.00m,08.07.2020,Portugal,Eintracht Frankfurt
205,JhonCórdoba,Centre-Forward,27,€12.00m,08.07.2020,Colombia,Hertha BSC
206,MatheusCunha,SecondStriker,21,€22.00m,08.07.2020,Brazil,Hertha BSC
207,PhilippLienhart,Centre-Back,24,€12.00m,08.07.2020,Austria,SC Freiburg
208,EdmondTapsoba,Centre-Back,21,€22.00m,08.07.2020,Burkina Faso,Bayer 04 Leverkusen
209,MarinPongracic,Centre-Back,23,€10.00m,08.07.2020,Croatia,VfL Wolfsburg
210,Angeliño,Left-Back,23,€20.00m,08.07.2020,Spain,RB Leipzig
211,FlorianNiederlechner,Centre-Forward,30,€10.00m,08.07.2020,Germany,FC Augsburg
212,DodiLukebakio,RightWinger,23,€19.00m,08.07.2020,Belgium,Hertha BSC
213,DedryckBoyata,Centre-Back,29,€10.00m,08.07.2020,Belgium,Hertha BSC
