,name,position,age,value,changed,nat,club
161,MarkoRog,CentralMidfield,25,€13.00m,25.08.2020,Croatia,Cagliari Calcio
162,ArmandoIzzo,Centre-Back,28,€15.00m,25.08.2020,Italy,Torino FC
163,SamuCastillejo,RightWinger,25,€13.00m,25.08.2020,Spain,AC Milan
164,BartlomiejDragowski,Goalkeeper,23,€15.00m,25.08.2020,Poland,ACF Fiorentina
165,AndreasCornelius,Centre-Forward,27,€12.00m,25.08.2020,Denmark,Parma Calcio 1913
166,ElseidHysaj,Right-Back,26,€14.00m,25.08.2020,Albania,SSC Napoli
167,AndreaConti,Right-Back,26,€10.00m,25.08.2020,Italy,AC Milan
168,RobertoGagliardini,CentralMidfield,26,€14.00m,25.08.2020,Italy,Inter Milan
169,DavideCalabria,Right-Back,23,€10.00m,25.08.2020,Italy,AC Milan
170,CristianRomero,Centre-Back,22,€14.00m,25.08.2020,Argentina,Atalanta BC
171,EdinDzeko,Centre-Forward,34,€10.00m,25.08.2020,Bosnia-Herzegovina,AS Roma
172,JoãoPedro,AttackingMidfield,28,€14.00m,25.08.2020,Brazil,Cagliari Calcio
173,EddieSalcedo,Centre-Forward,19,€10.00m,25.08.2020,Italy,Hellas Verona
174,FrancescoAcerbi,Centre-Back,32,€13.00m,25.08.2020,Italy,SS Lazio
175,KévinMalcuit,Right-Back,29,€10.00m,25.08.2020,France,SSC Napoli
176,MatteoPessina,CentralMidfield,23,€12.00m,25.08.2020,Italy,Atalanta BC
177,MarcoBenassi,CentralMidfield,26,€10.00m,25.08.2020,Italy,Hellas Verona
178,PolLirola,Right-Back,23,€10.00m,25.08.2020,Spain,ACF Fiorentina
179,ManoloGabbiadini,Centre-Forward,28,€10.00m,25.08.2020,Italy,UC Sampdoria
180,NicolasN'Koulou,Centre-Back,30,€10.00m,25.08.2020,Cameroon,Torino FC
181,MattiaZaccagni,AttackingMidfield,25,€8.50m,25.08.2020,Italy,Hellas Verona
182,DavideZappacosta,RightMidfield,28,€10.00m,25.08.2020,Italy,Genoa CFC
183,LucaMarrone,Centre-Back,30,€750Th.,26.03.2020,Italy,FC Crotone
