,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
101,Quentin Cornette,Amiens,France,26,448,1,2,1,0,82%,17%,45%,0.6,46.8,1.0,26.1,74%,0.41,1,2.2,1.2,0,1.4,1.0,4,0.0,0,0,0.20,0.20,71%,6.2
102,Marquinhos,PSG,Brazil,26,2263,0,2,1,0,53%,66%,68%,4.3,76.0,0.7,66.1,94%,0.08,2,0.1,0.0,0,0.6,0.0,11,0.0,0,0,0.00,0.00,0%,6.9
103,Benoît Costil,Bordeaux,France,33,3240,0,0,1,0,-,70%,72%,0.6,36.7,0.1,28.3,60%,0.00,0,0.1,0.0,0,0.0,0.0,10,2.2,4,1,0.00,0.00,0%,6.3
104,Kalifa Coulibaly,Nantes,Mali,29,339,1,0,0,0,100%,50%,43%,1.6,41.8,0.0,23.2,59%,0.00,1,1.1,1.1,0,1.9,0.8,5,0.0,0,0,0.27,0.27,43%,6.0
105,Lassana Coulibaly,Angers,Mali,24,832,1,2,1,0,66%,52%,49%,1.0,52.0,1.2,33.0,81%,0.22,2,1.6,0.9,0,1.7,0.4,5,0.0,0,0,0.11,0.11,25%,6.3
106,Nicolas Cozza,Montpellier,France,21,578,1,1,2,0,57%,25%,45%,1.6,67.1,2.2,38.0,77%,0.15,0,1.2,3.9,0,1.1,0.1,3,0.0,0,1,0.15,0.15,14%,6.5
107,Enzo Crivelli,Caen,France,25,1756,3,1,8,1,70%,46%,43%,0.6,32.9,0.2,20.4,62%,0.05,0,0.5,0.3,0,1.1,0.3,5,0.0,0,0,0.15,0.15,29%,5.8
108,Wylan Cyprien,Nice,France,25,945,2,2,2,0,90%,75%,58%,0.7,91.9,1.1,75.6,90%,0.19,3,0.5,4.8,0,1.9,0.4,5,0.0,0,2,0.19,0.19,20%,7.1
109,Nuno Jóia,Strasbourg,Cape Verde Islands,29,1741,5,2,4,1,64%,44%,49%,0.3,41.0,1.1,18.2,64%,0.10,0,2.6,1.1,0,1.6,0.5,4,0.0,0,1,0.26,0.26,29%,6.3
110,Dante,Nice,Brazil,37,2920,1,0,10,0,70%,59%,61%,3.7,82.7,1.4,71.7,92%,0.00,1,0.2,0.1,0,0.7,0.1,7,0.0,0,2,0.03,0.03,23%,6.9
111,Thiago Silva,PSG,Brazil,36,2116,1,0,5,0,77%,67%,63%,4.5,83.2,0.8,72.9,96%,0.00,0,0.1,0.1,0,0.5,0.1,13,0.0,0,0,0.05,0.05,27%,7.2
112,Gabriel Silva,Saint-Étienne,Brazil,29,2079,1,2,2,1,70%,47%,52%,2.4,64.1,1.6,35.1,82%,0.09,0,0.8,2.3,0,0.5,0.1,9,0.0,0,0,0.05,0.05,27%,6.5
113,Damien da Silva,Caen,France,32,2838,4,0,7,0,69%,56%,59%,5.4,56.3,1.2,42.7,82%,0.00,0,0.3,0.0,0,0.6,0.3,10,0.0,0,3,0.13,0.13,56%,6.7
114,Xeka,Dijon,Portugal,26,1408,2,3,4,0,62%,37%,41%,1.3,62.3,1.1,43.4,82%,0.19,4,1.0,2.2,0,2.2,0.6,1,0.0,0,1,0.13,0.13,29%,6.7
115,Neymar Jr.,PSG,Brazil,28,1788,19,13,5,0,70%,44%,59%,0.0,103.7,0.3,66.9,80%,0.65,22,7.1,4.2,4,4.5,2.0,9,0.0,0,10,0.95,0.76,46%,8.8
116,Yves Dabila,Lille,Côte d’Ivoire,23,943,0,0,1,0,65%,50%,51%,4.3,60.0,1.1,46.5,85%,0.00,0,0.4,0.9,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.2
117,Bryan Dabo,Saint-Étienne,Burkina Faso,28,1288,2,0,10,0,64%,62%,54%,1.5,62.2,1.0,43.1,77%,0.00,0,1.8,0.6,1,1.3,0.3,6,0.0,0,0,0.14,0.07,26%,6.5
118,Romain Danzé,Stade Rennais,France,34,683,0,0,2,0,66%,61%,49%,3.8,70.1,0.5,45.4,79%,0.00,0,0.0,2.4,0,0.1,0.0,3,0.0,0,0,0.00,0.00,0%,6.3
119,Stéphane Darbion,Troyes,France,36,1708,3,2,2,0,74%,30%,37%,0.7,52.9,1.1,32.7,81%,0.11,5,1.3,4.0,0,1.0,0.4,4,0.0,0,0,0.16,0.16,37%,6.4
120,Sergi Darder,Lyon,Spain,26,211,0,0,2,0,33%,80%,48%,1.3,73.3,2.1,60.9,87%,0.00,0,0.4,0.0,0,0.9,0.4,1,0.0,0,0,0.00,0.00,50%,6.4
121,Luiz Araújo,Lille,Brazil,24,2022,5,3,5,0,78%,27%,48%,0.5,52.5,0.8,30.1,76%,0.14,3,3.4,3.1,0,2.3,0.7,3,0.0,0,0,0.23,0.23,31%,6.3
122,Jemerson,Monaco,Brazil,28,2857,2,0,7,1,69%,54%,57%,5.2,55.5,1.9,42.8,87%,0.00,0,0.1,0.0,0,0.6,0.1,12,0.0,0,0,0.06,0.06,17%,6.6
123,Jorge,Monaco,Brazil,24,1923,1,2,8,0,58%,43%,55%,3.6,66.3,3.1,35.0,78%,0.09,2,1.0,2.9,0,0.3,0.1,8,0.0,0,0,0.05,0.05,29%,6.8
124,Nicolas de Préville,Bordeaux,France,29,2226,6,4,6,0,84%,36%,39%,0.6,52.4,0.9,28.7,73%,0.16,4,2.2,2.6,1,2.8,0.7,9,0.0,0,1,0.24,0.20,26%,6.4
125,Nathan,Amiens,Brazil,24,9,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
126,Lucas Deaux,Guingamp,France,31,1952,2,1,7,0,73%,56%,50%,0.8,69.9,1.5,54.3,82%,0.05,3,0.8,1.1,0,0.8,0.4,7,0.0,0,2,0.09,0.09,50%,6.8
127,Mathieu Debuchy,Saint-Étienne,France,35,1316,4,0,1,0,74%,65%,58%,4.0,72.6,2.0,39.0,74%,0.00,1,0.4,3.5,0,1.3,0.5,7,0.0,0,1,0.27,0.27,37%,7.1
128,Jonathan Delaplace,Caen,France,34,578,0,1,3,0,90%,35%,37%,1.1,49.8,1.2,33.8,74%,0.15,1,0.3,1.4,0,1.4,0.1,5,0.0,0,0,0.00,0.00,11%,6.0
129,Andy Delort,Toulouse,Algeria,29,2335,5,5,5,0,65%,48%,40%,0.7,47.2,0.5,27.6,61%,0.19,7,0.7,4.4,1,2.7,0.8,10,0.0,0,1,0.19,0.15,29%,6.2
130,Jessy Deminguet,Caen,France,22,530,1,1,2,0,83%,59%,45%,2.0,55.7,1.7,29.1,73%,0.17,1,0.8,6.6,0,1.2,0.8,3,0.0,0,0,0.17,0.17,71%,6.3
131,Memphis Depay,Lyon,Netherlands,26,2561,19,13,2,0,85%,22%,39%,0.1,64.2,0.5,39.2,80%,0.46,14,2.1,5.5,2,3.7,1.6,14,0.0,0,5,0.67,0.59,43%,7.2
132,Mathieu Deplagne,Troyes,France,29,2414,0,2,5,0,77%,55%,56%,2.9,63.9,2.2,37.7,81%,0.07,2,0.6,2.0,0,0.2,0.0,8,0.0,0,2,0.00,0.00,20%,6.6
133,Ángel di María,PSG,Argentina,32,2123,11,6,1,0,76%,0%,40%,0.3,69.6,0.5,45.7,79%,0.25,14,2.0,7.4,0,4.1,1.7,13,0.0,0,0,0.47,0.47,41%,7.1
134,Fallou Diagne,FC Metz,Senegal,31,2242,1,1,8,2,64%,66%,58%,4.6,52.8,2.0,40.6,78%,0.04,0,0.3,0.1,0,0.6,0.3,4,0.0,0,1,0.04,0.04,50%,6.3
135,Mouctar Diakhaby,Lyon,France,23,725,1,0,2,0,60%,61%,65%,6.3,66.5,1.5,51.9,88%,0.00,0,0.9,0.0,0,0.5,0.1,2,0.0,0,0,0.13,0.13,25%,6.5
136,Adama Diakhaby,Monaco,France,24,848,2,3,2,1,65%,36%,40%,0.4,40.3,1.4,19.8,73%,0.32,3,0.6,2.1,0,1.3,0.4,10,0.0,0,1,0.22,0.22,33%,6.2
137,Mustapha Diallo,Guingamp,Senegal,34,1380,5,0,6,0,77%,54%,55%,1.7,55.5,1.3,39.8,81%,0.00,0,0.5,0.1,0,2.3,1.0,8,0.0,0,1,0.32,0.32,46%,6.8
