,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
99,Moussa Diaby,Leverkusen,France,21,1767,5,5,3,0,82%,22%,47%,0.1,53.2,0.4,30.0,79%,0.25,11,3.4,4.6,0,2.1,1.2,7,0.0,0,0,0.25,0.25,56%,6.6
100,Breel Embolo,M'gladbach,Switzerland,23,1552,8,5,4,0,59%,31%,43%,0.2,44.8,0.5,21.5,78%,0.29,7,2.3,0.3,0,2.7,1.0,5,0.0,0,3,0.47,0.47,39%,6.5
101,Bas Dost,Frankfurt,Netherlands,31,1475,8,2,2,0,69%,64%,61%,1.3,35.7,0.2,27.8,59%,0.13,4,0.1,0.1,0,1.9,1.0,3,0.0,0,1,0.49,0.49,53%,6.6
102,Mohamed Dräger,SC Paderborn,Tunisia,24,1459,1,3,2,0,68%,32%,43%,1.9,67.5,1.2,37.9,77%,0.19,1,0.9,2.8,0,0.9,0.1,2,0.0,0,0,0.06,0.06,14%,6.1
103,Aleksandar Dragović,Leverkusen,Austria,29,1027,0,0,6,0,64%,60%,52%,2.9,93.2,1.2,80.5,89%,0.00,0,0.1,0.1,0,0.2,0.0,4,0.0,0,0,0.00,0.00,0%,6.5
104,Dominick Drexler,1. FC Köln,Germany,30,1585,3,4,5,0,77%,35%,48%,0.6,53.2,1.3,33.5,74%,0.23,5,1.0,2.8,0,1.1,0.5,4,0.0,0,0,0.17,0.17,40%,6.5
105,Ondrej Duda,Hertha BSC,Slovakia,25,451,0,1,2,0,67%,33%,45%,1.0,56.9,1.0,34.9,81%,0.20,0,3.4,1.4,0,1.4,1.0,0,0.0,0,0,0.00,0.00,71%,6.3
106,Erik Durm,Frankfurt,Germany,28,512,0,0,0,0,53%,44%,45%,1.2,59.4,0.7,30.8,62%,0.00,0,0.5,3.3,0,2.5,0.5,0,0.0,0,0,0.00,0.00,21%,5.8
107,Maximilian Eggestein,W. Bremen,Germany,23,2856,1,3,6,0,72%,38%,44%,1.5,59.5,1.2,43.6,78%,0.10,1,0.6,0.7,0,1.4,0.3,4,0.0,0,0,0.04,0.04,24%,6.4
108,Johannes Eggestein,W. Bremen,Germany,22,503,1,0,2,0,80%,11%,29%,0.5,50.6,0.5,33.2,76%,0.00,0,0.0,2.3,0,2.7,1.1,0,0.0,0,0,0.18,0.18,40%,5.9
109,Kingsley Ehizibue,1. FC Köln,Netherlands,25,2338,1,1,6,1,69%,57%,57%,2.6,60.8,1.5,32.5,77%,0.04,1,1.4,2.7,0,0.5,0.1,6,0.0,0,1,0.04,0.04,33%,6.3
110,Nico Elvedi,M'gladbach,Switzerland,24,2621,1,0,5,0,60%,60%,61%,3.6,71.8,2.2,59.7,92%,0.00,0,0.3,0.0,0,0.3,0.0,7,0.0,0,1,0.04,0.04,11%,6.9
111,Angeliño,RB Leipzig,Spain,23,1095,1,2,2,0,47%,24%,51%,1.3,76.3,1.6,47.9,81%,0.16,6,1.6,6.5,0,0.4,0.2,5,0.0,0,0,0.08,0.08,40%,6.8
112,Alexander Esswein,Hertha BSC,Germany,30,209,0,0,1,0,67%,85%,61%,2.6,55.4,2.6,32.0,64%,0.00,2,0.9,2.6,0,0.9,0.4,1,0.0,0,0,0.00,0.00,50%,5.9
113,Antony Evans,SC Paderborn,England,22,154,0,0,0,0,80%,33%,40%,2.3,54.4,1.2,27.5,68%,0.00,2,1.2,9.3,0,1.2,0.6,1,0.0,0,0,0.00,0.00,50%,6.1
