,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
72,Todd Cantwell,Norwich,England,22,2503,6,2,6,0,60%,34%,48%,1.0,58.7,0.6,37.9,82%,0.07,1,1.8,0.9,0,1.5,0.6,5,0.0,0,0,0.22,0.22,38%,6.4
73,Étienne Capoue,Watford,France,32,2632,0,3,8,0,56%,71%,53%,2.0,64.4,2.1,48.7,81%,0.10,3,0.8,0.8,0,0.7,0.0,7,0.0,0,1,0.00,0.00,5%,6.8
74,Andy Carroll,Newcastle,England,31,618,0,4,1,0,81%,64%,58%,3.5,49.7,0.1,30.1,61%,0.59,1,0.7,0.7,0,2.3,0.4,6,0.0,0,0,0.00,0.00,19%,6.1
75,Gedson,Tottenham,Portugal,21,61,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,3,0,0,0,0,0,-,6.0
76,Daniel Podence,Wolves,Portugal,25,286,1,0,0,0,100%,0%,47%,0.3,51.3,0.9,29.6,72%,0.00,1,2.2,1.6,0,3.1,0.9,6,0.0,0,0,0.32,0.32,30%,6.2
77,Jonny Castro,Wolves,Spain,26,2891,2,2,4,0,62%,39%,46%,0.9,61.3,1.6,33.8,81%,0.06,2,1.0,1.6,0,0.6,0.1,12,0.0,0,0,0.06,0.06,26%,6.4
78,Craig Cathcart,Watford,Northern Ireland,31,2489,0,0,7,0,62%,56%,59%,4.9,43.2,0.8,32.8,80%,0.00,0,0.1,0.0,0,0.1,0.0,9,0.0,0,0,0.00,0.00,50%,6.3
79,João Cancelo,Man City,Portugal,26,1205,0,0,4,0,65%,47%,55%,1.2,102.0,1.6,74.7,91%,0.00,6,2.6,3.5,0,1.1,0.2,8,0.0,0,2,0.00,0.00,20%,7.3
80,Bruno Jordão,Wolves,Portugal,22,6,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
81,Dani Ceballos,Arsenal,Spain,24,1698,0,2,1,0,55%,27%,49%,0.6,83.7,1.6,65.0,88%,0.11,1,1.3,3.8,0,0.7,0.2,7,0.0,0,1,0.00,0.00,23%,6.8
82,Nathaniel Chalobah,Watford,England,25,925,0,1,1,0,32%,56%,54%,1.9,50.9,1.6,33.8,74%,0.10,3,0.5,2.0,0,0.9,0.0,7,0.0,0,0,0.00,0.00,0%,6.2
83,Calum Chambers,Arsenal,England,25,1103,1,1,5,0,40%,57%,54%,3.3,88.9,1.2,64.7,82%,0.08,4,0.8,2.8,0,1.0,0.2,3,0.0,0,1,0.08,0.08,17%,6.6
84,Ben Chilwell,Leicester City,England,23,2375,3,3,3,0,62%,62%,50%,1.9,90.7,1.1,62.1,78%,0.12,3,0.7,3.9,0,0.6,0.2,10,0.0,0,2,0.12,0.12,38%,6.9
85,Tahith Chong,Man Utd,Netherlands,20,34,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,5.8
86,Hamza Choudhury,Leicester City,England,23,889,1,1,3,0,50%,53%,42%,1.2,64.3,2.7,50.0,86%,0.10,0,0.4,0.4,0,0.7,0.2,7,0.0,0,0,0.10,0.10,29%,6.4
87,Andreas Christensen,Chelsea,Denmark,24,1754,0,0,5,0,56%,58%,64%,2.7,77.4,1.6,67.1,91%,0.00,2,0.2,0.0,0,0.4,0.1,3,0.0,0,1,0.00,0.00,29%,6.7
88,Ciaran Clark,Newcastle,Republic of Ireland,31,1189,2,0,3,0,63%,45%,54%,5.9,37.9,1.0,23.9,78%,0.00,0,0.5,0.0,0,0.5,0.3,4,0.0,0,0,0.15,0.15,67%,6.4
89,Leon Clarke,Sheffield Utd,England,35,33,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.5
90,Tom Cleverley,Watford,England,31,967,1,0,2,0,57%,51%,48%,1.4,57.1,0.8,40.3,82%,0.00,0,0.7,2.6,0,1.6,0.5,2,0.0,0,0,0.09,0.09,29%,6.3
91,Conor Coady,Wolves,England,27,3420,0,0,5,0,65%,57%,58%,2.9,54.7,0.7,48.2,85%,0.00,1,0.1,0.0,0,0.0,0.0,13,0.0,0,0,0.00,0.00,0%,6.5
92,Séamus Coleman,Everton,Republic of Ireland,32,1839,0,1,4,0,76%,58%,61%,1.6,68.1,1.2,40.4,78%,0.05,2,1.9,2.1,0,0.4,0.2,7,0.0,0,0,0.00,0.00,50%,6.4
93,Aaron Connolly,Brighton,Republic of Ireland,20,1262,3,1,0,0,88%,33%,44%,0.2,26.3,0.0,10.2,76%,0.07,1,0.4,0.6,0,2.6,0.9,5,0.0,0,1,0.22,0.22,36%,5.9
