,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
117,De La Bella,Real Sociedad,Spain,34,1529,0,1,4,0,61%,60%,59%,2.5,76.1,1.2,48.3,83%,0.06,0,0.5,4.1,0,0.3,0.1,6,0.0,0,0,0.00,0.00,17%,6.5
118,De Marcos,Athletic,Spain,31,1663,1,2,5,0,75%,55%,51%,1.7,60.6,1.0,38.4,78%,0.11,4,0.6,3.1,0,0.7,0.4,7,0.0,0,0,0.05,0.05,62%,6.5
119,Carles Gil,Deportivo,Spain,27,478,0,1,0,0,67%,0%,50%,0.0,57.8,0.8,39.9,87%,0.19,2,0.4,1.7,0,1.9,0.4,1,0.0,0,0,0.00,0.00,20%,6.3
120,Ousmane Dembélé,Barcelona,France,23,930,3,6,2,0,70%,15%,42%,0.2,70.3,0.5,43.5,82%,0.59,6,3.9,4.4,0,1.9,1.0,6,0.0,0,1,0.29,0.29,50%,6.8
121,Ermedin Demirovic,Alavés,Bosnia and Herzegovina,22,181,1,1,0,0,100%,29%,26%,1.0,29.3,0.0,14.4,55%,0.50,0,0.0,0.0,0,3.0,1.5,1,0.0,0,0,0.50,0.50,50%,6.6
122,Gerard Deulofeu,Barcelona,Spain,26,503,1,1,1,0,62%,25%,36%,0.0,67.6,1.4,49.2,81%,0.18,3,1.3,2.9,0,1.4,0.7,5,0.0,0,0,0.18,0.18,50%,6.6
123,Bebé,Eibar,Portugal,30,361,0,1,0,0,78%,40%,41%,0.3,56.7,0.8,23.9,74%,0.25,3,2.0,11.7,0,2.2,0.3,2,0.0,0,0,0.00,0.00,11%,6.2
124,Charles,Eibar,Brazil,36,1581,8,1,5,1,73%,49%,45%,0.6,34.8,0.4,23.5,69%,0.05,2,0.2,0.4,1,2.6,0.9,8,0.0,0,0,0.46,0.40,36%,6.2
125,Amath Ndiaye,Getafe,Senegal,24,2884,3,3,9,0,68%,30%,40%,0.3,37.1,1.0,17.4,68%,0.09,4,1.3,0.7,0,1.3,0.4,14,0.0,0,0,0.09,0.09,31%,6.1
126,Adrián Dieguez,Alavés,Spain,24,438,0,0,5,0,50%,45%,43%,4.3,50.2,2.3,28.7,78%,0.00,0,1.9,0.2,0,0.6,0.0,2,0.0,0,0,0.00,0.00,0%,6.1
127,Lucas Digne,Barcelona,France,27,702,0,2,2,0,77%,50%,60%,2.0,85.9,1.5,61.5,88%,0.25,2,0.5,1.9,0,0.3,0.1,5,0.0,0,1,0.00,0.00,50%,7.1
128,Pape Kouly Diop,Eibar,Senegal,34,1206,0,0,7,0,74%,52%,51%,1.0,51.7,1.4,39.0,76%,0.00,0,0.6,0.4,0,1.1,0.1,6,0.0,0,0,0.00,0.00,7%,6.4
129,Dakonam Djené,Getafe,Togo,28,3240,1,0,9,0,75%,57%,61%,5.2,41.9,2.2,26.9,71%,0.00,0,0.8,0.3,0,0.3,0.1,13,0.0,0,3,0.03,0.03,18%,6.9
